Algorithm,test_rmse,fit_time,test_time,recall@k,precision@k
BaselineOnly,3.294520953061661,0.19434337615966796,0.04995508193969726,0.983968924171538,0.9555248933192009
SVD,3.29469884796931,1.3110598087310792,0.11332402229309083,0.9835787219788726,0.9562070442398065
SVDpp,3.295426873678141,7.728950786590576,1.3821532726287842,0.983617433668555,0.958342951297667
CoClustering,3.308050972140183,2.283301830291748,0.09043769836425782,0.9390310526991534,0.9569947545917068
SlopeOne,3.3377481655587493,1.2548909187316895,0.6747997283935547,0.9351413089646443,0.9582257335991535
NormalPredictor,3.3422625190874564,0.09983310699462891,0.08623452186584472,0.9270817313664207,0.9538306111918459
NMF,3.4041729002823358,2.4597004890441894,0.10182690620422363,0.7325920854352732,0.968363066376159
